2020-01-02 04:00:00,295.05,295.08,295.05,295.08,8910
2020-01-02 04:06:00,295.35,295.59,295.35,295.59,719
2020-01-02 04:08:00,295.55,295.55,295.55,295.55,266
2020-01-02 04:09:00,295.74,295.75,295.74,295.75,1410
2020-01-02 04:10:00,295.6,295.6,295.6,295.6,1000
2020-01-02 04:14:00,295.69,295.69,295.69,295.69,507
2020-01-02 04:15:00,295.68,295.68,295.68,295.68,164
2020-01-02 04:17:00,295.68,295.74,295.68,295.74,443
2020-01-02 04:20:00,295.6,295.65,295.6,295.65,1000
2020-01-02 04:21:00,295.7,295.7,295.7,295.7,556
2020-01-02 04:24:00,295.74,295.74,295.74,295.74,927
2020-01-02 04:25:00,295.74,295.74,295.74,295.74,676
2020-01-02 04:30:00,295.7,295.7,295.67,295.67,638
2020-01-02 04:32:00,295.58,295.58,295.56,295.56,3303
2020-01-02 04:33:00,295.5,295.56,295.5,295.56,1119
2020-01-02 04:34:00,295.56,295.56,295.56,295.56,1403
2020-01-02 04:35:00,295.56,295.56,295.56,295.56,700
2020-01-02 04:36:00,295.56,295.56,295.56,295.56,609
2020-01-02 04:50:00,295.63,295.63,295.63,295.63,289
2020-01-02 04:51:00,295.67,295.74,295.67,295.74,1210
2020-01-02 04:52:00,295.73,295.73,295.73,295.73,289
2020-01-02 05:01:00,295.75,295.88,295.75,295.88,1579
2020-01-02 05:13:00,295.9,295.99,295.9,295.99,765
2020-01-02 05:14:00,296,296,296,296,317
2020-01-02 05:16:00,295.94,295.94,295.94,295.94,100
2020-01-02 05:19:00,295.91,295.91,295.91,295.91,396
2020-01-02 05:27:00,296,296,295.99,295.99,1650
2020-01-02 05:29:00,295.99,295.99,295.92,295.92,611
2020-01-02 05:30:00,295.99,295.99,295.9,295.9,492
2020-01-02 05:35:00,295.97,295.98,295.97,295.98,1131
2020-01-02 05:37:00,295.93,295.98,295.93,295.98,432
2020-01-02 05:39:00,295.85,295.85,295.85,295.85,290
2020-01-02 05:43:00,295.89,295.9,295.89,295.9,700
2020-01-02 05:46:00,295.9,295.9,295.9,295.9,507
2020-01-02 05:48:00,295.9,295.9,295.9,295.9,465
2020-01-02 05:49:00,295.96,296,295.96,296,1171
2020-01-02 05:51:00,295.8,295.8,295.8,295.8,252
2020-01-02 05:53:00,295.93,295.95,295.93,295.95,300
2020-01-02 05:54:00,295.95,296,295.95,296,286
2020-01-02 05:55:00,296,296,296,296,1436
2020-01-02 05:56:00,296,296,296,296,300
2020-01-02 05:57:00,296.05,296.05,296.05,296.05,290
2020-01-02 05:58:00,296,296,296,296,2073
2020-01-02 06:00:00,295.75,295.77,295.75,295.75,1050
2020-01-02 06:01:00,295.76,295.76,295.76,295.76,100
2020-01-02 06:04:00,295.7,295.7,295.55,295.56,1075
2020-01-02 06:05:00,295.56,295.56,295.56,295.56,250
2020-01-02 06:12:00,295.8,295.84,295.79,295.84,1206
2020-01-02 06:13:00,295.72,295.72,295.72,295.72,156
2020-01-02 06:15:00,295.6,295.85,295.6,295.85,1480
2020-01-02 06:18:00,295.63,295.63,295.55,295.55,579
2020-01-02 06:19:00,295.6,295.6,295.6,295.6,275
2020-01-02 06:21:00,295.57,295.57,295.55,295.55,480
2020-01-02 06:22:00,295.52,295.52,295.52,295.52,255
2020-01-02 06:23:00,295.52,295.52,295.5,295.5,637
2020-01-02 06:33:00,295.51,295.51,295.5,295.5,326
2020-01-02 06:34:00,295.5,295.51,295.5,295.51,1412
2020-01-02 06:35:00,295.46,295.46,295.46,295.46,500
2020-01-02 06:40:00,295.51,295.51,295.51,295.51,150
2020-01-02 06:43:00,295.52,295.52,295.52,295.52,100
2020-01-02 06:45:00,295.5,295.5,295.5,295.5,300
2020-01-02 06:46:00,295.59,295.59,295.59,295.59,139
2020-01-02 06:48:00,295.5,295.5,295.5,295.5,170
